-BEGIN HEADER-,,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Climatology Climatologies ,,,,,,,,,,,,,,,
30-year Meteorological and Solar Monthly & Annual Climatologies (January 1990 - December 2019) ,,,,,,,,,,,,,,,
Location: Regional ,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,
PARAMETER,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,36.75,-87.25,1.34,3.52,8.21,14.04,19.19,23.6,25.85,25.75,21.96,15.04,8.02,3.25,14.2
T2M,36.75,-87.75,1.35,3.58,8.37,14.24,19.41,23.85,26.07,25.98,22.17,15.22,8.15,3.27,14.36
T2M,36.75,-88.25,1.36,3.66,8.56,14.46,19.64,24.11,26.26,26.21,22.4,15.41,8.29,3.29,14.52
T2M,36.75,-88.75,1.31,3.64,8.53,14.34,19.48,23.89,25.94,26.05,22.31,15.31,8.15,3.15,14.39
T2M,36.75,-89.25,1.4,3.79,8.75,14.62,19.8,24.22,26.18,26.12,22.39,15.49,8.36,3.24,14.58
T2M,36.75,-89.75,1.38,3.82,8.81,14.64,19.8,24.22,26.18,25.95,22.18,15.39,8.33,3.18,14.54
T2M,36.75,-90.25,1.29,3.76,8.75,14.54,19.66,24.1,26.13,25.76,21.89,15.17,8.19,3.04,14.41
T2M,36.75,-90.75,1.14,3.59,8.57,14.33,19.44,23.94,26.13,25.68,21.64,14.93,8,2.84,14.24
T2M,36.75,-91.25,0.86,3.26,8.21,13.93,19.09,23.7,26.17,25.73,21.46,14.68,7.75,2.53,14
T2M,36.75,-91.75,0.53,2.95,7.87,13.57,18.79,23.53,26.16,25.78,21.39,14.48,7.49,2.2,13.78
T2M,37.25,-87.25,0.75,2.91,7.8,13.8,19.05,23.47,25.6,25.47,21.72,14.76,7.67,2.7,13.86
T2M,37.25,-87.75,0.71,2.93,7.89,13.92,19.17,23.63,25.72,25.63,21.86,14.88,7.73,2.66,13.94
T2M,37.25,-88.25,0.64,2.93,7.97,14,19.25,23.76,25.83,25.76,21.96,14.95,7.75,2.6,14
T2M,37.25,-88.75,0.56,2.89,7.95,13.93,19.17,23.69,25.75,25.69,21.89,14.88,7.67,2.49,13.93
T2M,37.25,-89.25,0.52,2.93,8.04,14.02,19.29,23.84,25.86,25.69,21.86,14.89,7.7,2.46,13.98
T2M,37.25,-89.75,0.4,2.84,7.95,13.91,19.18,23.76,25.84,25.57,21.63,14.73,7.58,2.32,13.86
T2M,37.25,-90.25,0.25,2.66,7.75,13.69,18.96,23.59,25.84,25.44,21.33,14.5,7.39,2.14,13.68
T2M,37.25,-90.75,0.08,2.45,7.5,13.41,18.7,23.39,25.86,25.34,21.05,14.26,7.2,1.93,13.48
T2M,37.25,-91.25,-0.13,2.23,7.23,13.11,18.43,23.14,25.75,25.26,20.84,14.03,6.98,1.68,13.26
T2M,37.25,-91.75,-0.32,2.08,7.06,12.91,18.26,22.99,25.63,25.2,20.76,13.89,6.85,1.47,13.12
T2M,37.75,-87.25,0.15,2.32,7.38,13.52,18.86,23.31,25.27,25.1,21.39,14.42,7.31,2.16,13.48
T2M,37.75,-87.75,0.09,2.34,7.45,13.6,18.93,23.43,25.37,25.18,21.44,14.5,7.33,2.11,13.53
T2M,37.75,-88.25,-0.02,2.3,7.46,13.6,18.94,23.5,25.47,25.28,21.49,14.53,7.31,2.03,13.54
T2M,37.75,-88.75,-0.17,2.21,7.42,13.55,18.9,23.5,25.51,25.27,21.44,14.48,7.23,1.91,13.49
T2M,37.75,-89.25,-0.26,2.19,7.43,13.54,18.9,23.54,25.55,25.26,21.36,14.42,7.18,1.83,13.46
T2M,37.75,-89.75,-0.4,2.07,7.3,13.39,18.77,23.47,25.62,25.25,21.21,14.29,7.05,1.68,13.36
T2M,37.75,-90.25,-0.54,1.88,7.07,13.15,18.55,23.33,25.72,25.24,20.98,14.11,6.89,1.51,13.21
T2M,37.75,-90.75,-0.67,1.69,6.82,12.88,18.31,23.15,25.76,25.17,20.72,13.91,6.74,1.35,13.04
T2M,37.75,-91.25,-0.77,1.6,6.7,12.72,18.15,22.94,25.57,25.01,20.56,13.74,6.64,1.22,12.89
T2M,37.75,-91.75,-0.8,1.63,6.72,12.72,18.17,22.97,25.6,25.05,20.57,13.72,6.66,1.19,12.9
T2M,38.25,-87.25,-0.56,1.65,6.84,13.1,18.54,23.06,24.91,24.65,20.93,13.99,6.85,1.55,13.01
T2M,38.25,-87.75,-0.61,1.7,6.94,13.2,18.65,23.2,25.01,24.67,20.94,14.06,6.88,1.52,13.07
T2M,38.25,-88.25,-0.72,1.67,6.95,13.21,18.67,23.28,25.15,24.79,20.99,14.1,6.87,1.46,13.09
T2M,38.25,-88.75,-0.89,1.57,6.9,13.16,18.64,23.3,25.24,24.85,20.99,14.08,6.79,1.35,13.05
T2M,38.25,-89.25,-0.96,1.56,6.92,13.16,18.65,23.35,25.33,24.92,20.97,14.07,6.79,1.3,13.06
T2M,38.25,-89.75,-1,1.52,6.9,13.12,18.62,23.39,25.52,25.06,20.97,14.05,6.74,1.23,13.06
