PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1992,36.75,-87.25,87.39,85.04,82.19,79.93,78.84,80.99,77.73,73.22,74.2,67.83,79.42,85.29,79.31
RH2M,1992,36.75,-87.75,86.82,84.29,81.53,79.38,77.83,79.21,75.59,71.24,73.21,67.24,79.04,84.52,78.3
RH2M,1992,36.75,-88.25,86.34,83.53,80.78,78.97,76.9,77.49,74.97,69.89,73.24,67.65,79.35,84.26,77.76
RH2M,1992,36.75,-88.75,86.22,83.41,81.03,79.72,78.12,78.72,76.59,69.09,73.56,68,80.5,84.94,78.28
RH2M,1992,36.75,-89.25,85.57,82.58,80.38,78.67,76.65,77.04,76.34,69.34,72.84,67.12,80,84.64,77.58
RH2M,1992,36.75,-89.75,85.72,82.79,80.31,78.41,76.56,77.41,78.12,71.54,73.2,67.38,80.62,85.05,78.08
RH2M,1992,36.75,-90.25,86.16,83.31,80.3,78.23,77,78.38,79.52,73.28,73.41,67.81,81.53,85.4,78.67
RH2M,1992,36.75,-90.75,86.84,84.11,80.36,78.12,77.58,79.29,79.51,73.58,72.89,67.65,82.37,85.61,78.95
RH2M,1992,36.75,-91.25,88.22,85.78,81.06,78.75,78.38,80.34,78.41,72.88,71.72,66.25,83.34,86.31,79.25
RH2M,1992,36.75,-91.75,88.92,86.66,81.21,79.38,78.53,80.77,76.43,71.42,70.72,65.32,83.62,86.96,79.12
RH2M,1992,37.25,-87.25,86.67,84.33,81.42,79.51,78.51,80.1,78.53,74.14,73.6,67.2,79.76,84.48,78.99
RH2M,1992,37.25,-87.75,86.29,83.83,80.95,79.22,77.79,78.78,76.65,71.7,73.05,67.22,79.84,84.12,78.26
RH2M,1992,37.25,-88.25,86.24,83.59,80.6,79.12,77.35,77.56,75.36,69.32,73.04,67.85,80.47,84.26,77.88
RH2M,1992,37.25,-88.75,86.72,83.84,80.62,79.22,77.38,77.03,74.56,67.25,72.72,67.88,81.38,84.78,77.75
RH2M,1992,37.25,-89.25,86.17,83.37,80.4,78.77,76.97,76.18,75.26,67.7,72.37,67.92,81.35,84.93,77.6
RH2M,1992,37.25,-89.75,86.63,83.87,80.68,78.81,77.01,76.4,76.21,68.24,71.89,67.88,82.08,85.59,77.92
RH2M,1992,37.25,-90.25,87.31,84.53,80.86,78.79,77.08,76.61,76.26,68.42,71.11,67.33,83.04,86.08,78.08
RH2M,1992,37.25,-90.75,87.86,85.09,80.82,78.76,77.22,76.89,75.51,68.35,70.28,66.29,83.94,86.29,78.06
RH2M,1992,37.25,-91.25,88.44,85.81,80.97,79.28,77.88,78.47,75.28,68.75,70,65.19,84.72,86.72,78.41
RH2M,1992,37.25,-91.75,88.56,86.24,80.74,79.68,77.85,79.27,74.78,68.7,69.85,64.84,84.79,87.12,78.48
